product_collection,product_name,price
STADIUM COLLECTION,UCL Men's home jersey 24/25 FC Barcelona,"LE 7,499.00 EGP"
ADVANCED TECH,FC Barcelona home short 24/25 - Player's Edition,"LE 4,891.00 EGP"
STADIUM COLLECTION,UCL Junior home jersey 24/25 FC Barcelona,"LE 6,195.00 EGP"
STADIUM COLLECTION,FC Barcelona home shorts 24/25 - Junior,"LE 2,608.00 EGP"
ADVANCED TECH,UCL Men's third jersey 24/25 FC Barcelona - Player's Edition,"LE 10,760.00 EGP"
ADVANCED TECH,FC Barcelona third shorts 24/25 - Player's Edition,"LE 4,891.00 EGP"
COLDPLAY COLLECTION,Barça x Coldplay Limited Edition Yellow T-shirt,"LE 2,282.00 EGP"
COLDPLAY COLLECTION,Barça x Coldplay Limited Edition Blaugrana Scarf,"LE 1,630.00 EGP"
STADIUM COLLECTION,UCL Men's home jersey 24/25 FC Barcelona,"LE 7,499.00 EGP"
STADIUM COLLECTION,Sweatshirt grey Barça,"LE 3,913.00 EGP"
ADVANCED TECH,Barça lightweight jacket grey,"LE 5,543.00 EGP"
ADVANCED TECH,Jacket black Barça,"LE 4,891.00 EGP"
STADIUM COLLECTION,Polo black Barça,"LE 3,587.00 EGP"
STADIUM COLLECTION,Bomber jacket Barça 1899,"LE 5,869.00 EGP"
STADIUM COLLECTION,"Cap ""FC Barcelona"" grey","LE 1,630.00 EGP"
STADIUM COLLECTION,Barça striped polo,"LE 2,934.00 EGP"
ADVANCED TECH,Barça antracite socks,LE 978.00 EGP
ADVANCED TECH,Short grey Barça,"LE 2,608.00 EGP"
ADVANCED TECH,UCL Men's home jersey 24/25 FC Barcelona Long-sleeve,"LE 8,151.00 EGP"
STADIUM COLLECTION,FC Barcelona home short 24/25 - Player's Edition,"LE 4,891.00 EGP"
STADIUM COLLECTION,Retro sweatshirt FC Barcelona,"LE 4,565.00 EGP"
ADVANCED TECH,UCL Junior home jersey 24/25 FC Barcelona - Dri-Fit ADV,"LE 9,455.00 EGP"
STADIUM COLLECTION,FC Barcelona home shorts 24/25 - Junior,"LE 2,608.00 EGP"
STADIUM COLLECTION,UWCL Women's away jersey 24/25 FC Barcelona,"LE 7,499.00 EGP"
RETRO COLLECTION,UCL Women's home jersey 24/25 FC Barcelona,"LE 7,499.00 EGP"
STADIUM COLLECTION,FC Barcelona Training Tank Shirt 24/25,"LE 3,260.00 EGP"
STADIUM COLLECTION,FC Barcelona training shirt 24/25 third kit - Player's Edition,"LE 4,891.00 EGP"
STADIUM COLLECTION,UCL Men's third jersey 24/25 FC Barcelona - Player's Edition,"LE 10,760.00 EGP"
STADIUM COLLECTION,FC Barcelona third shorts 24/25 - Player's Edition,"LE 4,891.00 EGP"
STADIUM COLLECTION,UCL Men's third jersey 24/25 FC Barcelona,"LE 7,499.00 EGP"
STADIUM COLLECTION,FC Barcelona third shorts 24/25,"LE 3,260.00 EGP"
STADIUM COLLECTION,UCL Junior third jersey 24/25 FC Barcelona - Player's Edition,"LE 9,455.00 EGP"
STADIUM COLLECTION,UCL Junior third jersey 24/25 FC Barcelona,"LE 6,195.00 EGP"
STADIUM COLLECTION,Hoodie black Barça Nike,"LE 6,195.00 EGP"
ADVANCED TECH,FC Barcelona anthem jacket home 24/25,"LE 5,869.00 EGP"
STADIUM COLLECTION,UCL Men's home jersey 24/25 FC Barcelona,"LE 7,499.00 EGP"
ADVANCED TECH,FC Barcelona home short 24/25 - Player's Edition,"LE 4,891.00 EGP"
STADIUM COLLECTION,UCL Junior home jersey 24/25 FC Barcelona,"LE 6,195.00 EGP"
STADIUM COLLECTION,FC Barcelona home shorts 24/25 - Junior,"LE 2,608.00 EGP"
ADVANCED TECH,UCL Men's third jersey 24/25 FC Barcelona - Player's Edition,"LE 10,760.00 EGP"
ADVANCED TECH,FC Barcelona third shorts 24/25 - Player's Edition,"LE 4,891.00 EGP"
STADIUM COLLECTION,FC Barcelona anthem jacket away 24/25 - Junior,"LE 4,891.00 EGP"
STADIUM COLLECTION,FC Barcelona Pre-Match away Shirt 24/25 - Junior,"LE 3,913.00 EGP"
STADIUM COLLECTION,FC Barcelona anthem jacket away 24/25 - Women,"LE 9,129.00 EGP"
RETRO COLLECTION,Messi FCB Signed and Framed Branded Capt Armband,"LE 117,379.00 EGP"
ADVANCED TECH,Red T-Shirt Barça 1899,"LE 1,956.00 EGP"
STADIUM COLLECTION,Hoodie red Barça  - Woman,"LE 4,239.00 EGP"
STADIUM COLLECTION,T-shirt red Barça - Woman,"LE 1,956.00 EGP"
STADIUM COLLECTION,FC Barcelona Captain’s Jersey,"LE 4,565.00 EGP"
STADIUM COLLECTION,UWCL Women's third jersey 24/25 FC Barcelona - Player's Edition,"LE 10,760.00 EGP"
STADIUM COLLECTION,FC Barcelona third shorts 24/25 - Women,"LE 3,260.00 EGP"
STADIUM COLLECTION,UWCL Women's third jersey 24/25 FC Barcelona,"LE 7,499.00 EGP"
STADIUM COLLECTION,Younger kids home kit 24/25 FC Barcelona,"LE 4,565.00 EGP"
