,product_collection,product_name,price_in_EGP
0,Stadium collection,UCL Men's home jersey 24/25 FC Barcelona,7499
1,Advanced tech,FC Barcelona home short 24/25 - Player's Edition,4891
2,Stadium collection,UCL Junior home jersey 24/25 FC Barcelona,6195
3,Stadium collection,FC Barcelona home shorts 24/25 - Junior,2608
4,Advanced tech,UCL Men's third jersey 24/25 FC Barcelona - Player's Edition,10760
5,Advanced tech,FC Barcelona third shorts 24/25 - Player's Edition,4891
6,Coldplay collection,Barca x Coldplay Limited Edition Yellow T-shirt,2282
7,Coldplay collection,Barca x Coldplay Limited Edition Blaugrana Scarf,1630
9,Stadium collection,Sweatshirt grey Barca,3913
10,Advanced tech,Barca lightweight jacket grey,5543
11,Advanced tech,Jacket black Barca,4891
12,Stadium collection,Polo black Barca,3587
13,Stadium collection,Bomber jacket Barca 1899,5869
14,Stadium collection,"Cap ""FC Barcelona"" grey",1630
15,Stadium collection,Barca striped polo,2934
16,Advanced tech,Barca antracite socks,978
17,Advanced tech,Short grey Barca,2608
18,Advanced tech,UCL Men's home jersey 24/25 FC Barcelona Long-sleeve,8151
19,Stadium collection,FC Barcelona home short 24/25 - Player's Edition,4891
20,Stadium collection,Retro sweatshirt FC Barcelona,4565
21,Advanced tech,UCL Junior home jersey 24/25 FC Barcelona - Dri-Fit ADV,9455
23,Stadium collection,UWCL Women's away jersey 24/25 FC Barcelona,7499
24,Retro collection,UCL Women's home jersey 24/25 FC Barcelona,7499
25,Stadium collection,FC Barcelona Training Tank Shirt 24/25,3260
26,Stadium collection,FC Barcelona training shirt 24/25 third kit - Player's Edition,4891
27,Stadium collection,UCL Men's third jersey 24/25 FC Barcelona - Player's Edition,10760
28,Stadium collection,FC Barcelona third shorts 24/25 - Player's Edition,4891
29,Stadium collection,UCL Men's third jersey 24/25 FC Barcelona,7499
30,Stadium collection,FC Barcelona third shorts 24/25,3260
31,Stadium collection,UCL Junior third jersey 24/25 FC Barcelona - Player's Edition,9455
32,Stadium collection,UCL Junior third jersey 24/25 FC Barcelona,6195
33,Stadium collection,Hoodie black Barca Nike,6195
34,Advanced tech,FC Barcelona anthem jacket home 24/25,5869
41,Stadium collection,FC Barcelona anthem jacket away 24/25 - Junior,4891
42,Stadium collection,FC Barcelona Pre-Match away Shirt 24/25 - Junior,3913
43,Stadium collection,FC Barcelona anthem jacket away 24/25 - Women,9129
44,Retro collection,Messi FCB Signed and Framed Branded Capt Armband,117379
45,Advanced tech,Red T-Shirt Barca 1899,1956
46,Stadium collection,Hoodie red Barca  - Woman,4239
47,Stadium collection,T-shirt red Barca - Woman,1956
48,Stadium collection,FC Barcelona Captain’s Jersey,4565
49,Stadium collection,UWCL Women's third jersey 24/25 FC Barcelona - Player's Edition,10760
50,Stadium collection,FC Barcelona third shorts 24/25 - Women,3260
51,Stadium collection,UWCL Women's third jersey 24/25 FC Barcelona,7499
52,Stadium collection,Younger kids home kit 24/25 FC Barcelona,4565
53,Stadium collection,FC Barcelona home kit 24/25 - Baby,4239
54,Stadium collection,FC Barcelona home shorts 24/25 - Women,3260
55,Stadium collection,FC Barcelona away shorts 24/25 - Women,3260
56,Stadium collection,FC Barcelona away shorts 24/25 - Junior,2608
57,Stadium collection,FC Barcelona coach training Shirt 24/25,3260
58,Stadium collection,Training coach Shirt FC Barcelona 24/25 - Junior,2608
59,The club collection,FC Barcelona training sweatshirt 24/25,4565
60,The club collection,Training Shorts FC Barcelona 24/25,2934
61,The club collection,FC Barcelona anthem jacket home 24/25 - Junior,4891
62,The club collection,FC Barcelona Pre-Match home Shirt 24/25  - Junior,3913
63,Stadium collection,The Club Solid Indigo Shirt,9782
64,Advanced tech,The Club Striped Indigo Shirt,9782
65,Stadium collection,The Club Striped Indigo Shirt,9782
66,Stadium collection,The Club White Shirt,9782
67,Stadium collection,Hoodie ecru Barca,4239
68,Stadium collection,Training Shirt FC Barcelona 24/25 - Junior,2608
69,Stadium collection,UCL Junior away jersey 24/25 FC Barcelona - Player's Edition,9455
70,Stadium collection,UCL Junior away jersey 24/25 FC Barcelona,6195
71,Stadium collection,Training Shorts FC Barcelona 24/25 - Junior,2282
72,Stadium collection,Hoodie crest black Barca Nike - Women,9129
79,Retro collection,1995-97's Season Jersey,4565
80,Cruyff collection,FC Barcelona 1991-92 Retro Away Jersey,4565
81,Retro collection,70's Retro Johan Cruyff White Shirt,4565
82,Barca basics collection,MESSI | Lionel Messi Official FC Barcelona Back Signed and Framed 2018-19 Home Shirt,163026
83,Barca basics collection,Spotify Camp Nou Seat - Model 2 - LATE DELIVERY,14998
84,Barca basics collection,1974/75 Retro Away Kit Jersey,4891
85,Claim collection,Hoodie Forca Barca,4239
86,Essentials collection,T-shirt blue Forca Barca,1956
87,Essentials collection,T-shirt red Forca Barca,1956
88,Barca basics collection,Polo maroon Barca,2934
89,Festival collection,Methacrylate with grass from the last pitch at Spotify Camp Nou,5217
